,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
10,DT,1,0.5507,0.5158,0.3462,0.2605,0.4859,0.5507,0.3985,0.5107,0.6871,"{'pca__n_components': 0.9, 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.0,0.0,0.0,0.505,1.0,0.0385,0.0741,0.5192,0.5474,1.0,0.7075,0.5079,0.9,,5.0,16.0,4.0,sqrt,,balanced,,,,,,,,entropy,random
11,DT,2,0.5169,0.1723,0.3333,0.2272,0.2672,0.5169,0.3523,0.5,0.6314,"{'pca__n_components': 0.75, 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5169,1.0,0.6816,0.5,0.75,,3.0,19.0,4.0,sqrt,,,,,,,,,,entropy,random
12,DT,3,0.5032,0.46,0.4739,0.4598,0.4743,0.5032,0.481,0.6162,0.6691,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 4, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.3529,0.2449,0.2892,0.5833,0.4146,0.3864,0.4,0.519,0.6125,0.7903,0.6901,0.7464,0.75,,4.0,19.0,10.0,,,balanced,,,,,,,,gini,random
13,DT,4,0.4487,0.4385,0.4163,0.3838,0.4384,0.4487,0.3997,0.5717,0.6173,"{'pca__n_components': 0.85, 'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.4194,0.2097,0.2796,0.4938,0.4375,0.2059,0.28,0.6158,0.4587,0.8333,0.5917,0.6055,0.85,,4.0,12.0,9.0,,,balanced,,,,,,,,entropy,random
14,DT,5,0.4247,0.3643,0.4183,0.316,0.4564,0.4247,0.3585,0.5557,0.5829,"{'pca__n_components': 0.95, 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 7, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': None}",0.75,0.3173,0.4459,0.6108,0.0,0.0,0.0,0.4585,0.3429,0.9375,0.5021,0.5978,0.95,,1.0,12.0,7.0,log2,,,,,,,,,,gini,best
15,RF,MEAN,0.5088,0.5069,0.4636,0.4453,0.5379,0.5088,0.493,0.6546,0.6827,N/A,0.473,0.494,0.4689,0.6526,0.4719,0.189,0.2451,0.5714,0.5757,0.7079,0.6219,0.7396,,,,,,,,,,,,,,,,,
16,RF,STD,0.0689,0.1043,0.0554,0.0421,0.0959,0.0689,0.0626,0.0547,0.0583,N/A,0.1714,0.1097,0.0927,0.0704,0.2233,0.0564,0.0187,0.0818,0.151,0.1616,0.1156,0.0734,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5454,0.4993,0.4887,0.4568,0.5455,0.5454,0.5144,0.6729,0.7032,N/A,0.5015,0.5567,0.5119,0.6687,0.4065,0.1318,0.1983,0.6015,0.5899,0.7777,0.6601,0.7486,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0327,0.0792,0.0321,0.0342,0.0525,0.0327,0.0311,0.0413,0.0358,N/A,0.1642,0.0692,0.0667,0.0608,0.2334,0.0741,0.111,0.0756,0.1358,0.1044,0.0895,0.0516,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.4888,0.3902,0.3976,0.3295,0.4244,0.4888,0.398,0.5509,0.6376,N/A,0.3045,0.1544,0.2029,0.5386,0.3704,0.1262,0.1508,0.5225,0.4957,0.9122,0.6346,0.5915,,,,,,,,,,,,,,,,,
20,DT,STD,0.0513,0.1334,0.0578,0.094,0.0897,0.0513,0.0513,0.0472,0.0415,N/A,0.316,0.1462,0.1967,0.0544,0.4115,0.1685,0.1804,0.0577,0.1018,0.0964,0.0866,0.0995,,,,,,,,,,,,,,,,,
