Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
DT,1,0.6067,0.5641,0.5442,0.4803,0.581,0.6067,0.5326,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.5,0.0426,0.0784,0.5469,0.7447,0.6306,0.6455,0.8452,0.732,52.0,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
DT,2,0.6492,0.6565,0.6453,0.6456,0.6624,0.6492,0.6511,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 5, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.6827,0.6827,0.6827,0.7458,0.5867,0.6567,0.5412,0.6667,0.5974,31.0,f_classif,,3.0,10.0,5.0,,,,,,,,,,,gini,random
DT,3,0.6613,0.647,0.7045,0.6624,0.6676,0.6613,0.6563,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 2, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.75,0.7273,0.7385,0.5696,0.8824,0.6923,0.6214,0.5039,0.5565,21.0,f_classif,,2.0,19.0,2.0,,,balanced,,,,,,,,entropy,best
DT,4,0.6792,0.6852,0.7198,0.6466,0.7499,0.6792,0.6653,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.8667,0.9286,0.8966,0.4111,0.881,0.5606,0.7778,0.35,0.4828,31.0,f_classif,,2.0,9.0,8.0,,,balanced,,,,,,,,gini,best
DT,5,0.6374,0.5946,0.4732,0.4757,0.6272,0.6374,0.5809,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.3077,0.1212,0.1739,0.8333,0.3409,0.4839,0.6429,0.9574,0.7692,31.0,f_classif,,2.0,11.0,9.0,,,,,,,,,,,entropy,random
RF,MEAN,0.7608,0.7754,0.7562,0.7504,0.7826,0.7608,0.7554,N/A,N/A,N/A,0.8018,0.8008,0.7923,0.7934,0.756,0.7577,0.731,0.7119,0.7012,,,,,,,,,,,,,,,,,,
RF,STD,0.087,0.0794,0.0955,0.0934,0.0766,0.087,0.0893,N/A,N/A,N/A,0.1383,0.1113,0.0739,0.0894,0.1781,0.0882,0.1751,0.2246,0.1673,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7561,0.775,0.7532,0.7476,0.7805,0.7561,0.7503,N/A,N/A,N/A,0.7953,0.8092,0.7884,0.8037,0.7372,0.7553,0.7263,0.7131,0.6991,,,,,,,,,,,,,,,,,,
XGB,STD,0.059,0.0554,0.0668,0.0653,0.0551,0.059,0.063,N/A,N/A,N/A,0.1394,0.1211,0.045,0.0922,0.1497,0.0629,0.1401,0.2088,0.1374,,,,,,,,,,,,,,,,,,
DT,MEAN,0.6468,0.6295,0.6174,0.5821,0.6576,0.6468,0.6172,N/A,N/A,N/A,0.6214,0.5005,0.514,0.6213,0.6871,0.6048,0.6458,0.6646,0.6276,,,,,,,,,,,,,,,,,,
DT,STD,0.0272,0.0491,0.1061,0.0953,0.0621,0.0272,0.058,N/A,N/A,N/A,0.22,0.3942,0.3642,0.168,0.2286,0.083,0.0851,0.2466,0.1203,,,,,,,,,,,,,,,,,,
