Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Features_K,Score_Function,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
DT,1,0.604,0.7218,0.5493,0.477,0.7106,0.604,0.526,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",1.0,0.0426,0.0816,0.5246,0.7711,0.6244,0.6409,0.8343,0.7249,52.0,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
DT,2,0.53,0.6438,0.5237,0.5173,0.6498,0.53,0.5309,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 3, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.7062,0.565,0.6278,0.8542,0.2929,0.4362,0.3709,0.7133,0.488,94.0,f_classif,,2.0,19.0,3.0,,,,,,,,,,,gini,random
DT,3,0.5665,0.3611,0.6348,0.46,0.3309,0.5665,0.4175,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 1, 'clf__min_samples_split': 12, 'clf__min_samples_leaf': 8, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.6005,1.0,0.7504,0.483,0.9043,0.6296,0.0,0.0,0.0,84.0,f_classif,,1.0,12.0,8.0,log2,,balanced,,,,,,,,entropy,best
DT,4,0.5644,0.3592,0.6667,0.4561,0.3468,0.5644,0.4227,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 1, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.709,1.0,0.8297,0.3687,1.0,0.5387,0.0,0.0,0.0,73.0,f_classif,,1.0,14.0,10.0,,,balanced,,,,,,,,entropy,best
DT,5,0.403,0.2824,0.6437,0.3898,0.1719,0.403,0.2392,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 1, 'clf__min_samples_split': 16, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",0.4865,0.931,0.6391,0.3607,1.0,0.5302,0.0,0.0,0.0,94.0,f_classif,,1.0,16.0,8.0,,,balanced,,,,,,,,gini,best
RF,MEAN,0.7466,0.7599,0.7387,0.7303,0.7734,0.7466,0.7405,N/A,N/A,N/A,0.7916,0.7747,0.7727,0.7565,0.7238,0.7188,0.7317,0.7176,0.6995,,,,,,,,,,,,,,,,,,
RF,STD,0.0808,0.0699,0.0776,0.079,0.0707,0.0808,0.0844,N/A,N/A,N/A,0.1519,0.1266,0.0842,0.1288,0.1731,0.0829,0.1569,0.2244,0.1569,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7526,0.7646,0.7358,0.7339,0.7743,0.7526,0.7465,N/A,N/A,N/A,0.7864,0.7879,0.776,0.7725,0.6951,0.7142,0.7347,0.7245,0.7114,,,,,,,,,,,,,,,,,,
XGB,STD,0.0641,0.0533,0.0641,0.0636,0.0565,0.0641,0.0692,N/A,N/A,N/A,0.155,0.1341,0.0911,0.1308,0.1629,0.0908,0.1246,0.2109,0.1376,,,,,,,,,,,,,,,,,,
DT,MEAN,0.5336,0.4737,0.6036,0.46,0.442,0.5336,0.4273,N/A,N/A,N/A,0.7004,0.7077,0.5857,0.5182,0.7937,0.5518,0.2024,0.3095,0.2426,,,,,,,,,,,,,,,,,,
DT,STD,0.0776,0.1955,0.063,0.0461,0.229,0.0776,0.1183,N/A,N/A,N/A,0.1908,0.4134,0.2939,0.2008,0.2952,0.0796,0.2931,0.426,0.3426,,,,,,,,,,,,,,,,,,
