,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.5051,0.4742,0.4694,0.4709,0.5192,0.5051,0.5114,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 'log2', 'splitter': 'random'}",,20.0,9.0,6.0,log2,,,,,,,,,entropy,random
11,DT,2,0.5581,0.3781,0.4607,0.4135,0.4519,0.5581,0.4972,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'random'}",,2.0,5.0,3.0,log2,,,,,,,,,entropy,random
12,DT,3,0.5488,0.5095,0.5093,0.4818,0.5308,0.5488,0.509,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 19, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",,3.0,19.0,7.0,log2,,,,,,,,,entropy,best
13,DT,4,0.354,0.3377,0.3562,0.3349,0.3434,0.354,0.3373,"{'criterion': 'gini', 'max_depth': 17, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'random'}",,17.0,8.0,3.0,,,,,,,,,,gini,random
14,DT,5,0.5529,0.6073,0.4765,0.4815,0.583,0.5529,0.5251,"{'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 12, 'min_samples_leaf': 8, 'max_features': 'log2', 'splitter': 'random'}",,16.0,12.0,8.0,log2,,,,,,,,,entropy,random
15,RF,MEAN,0.5889,0.5914,0.5565,0.5468,0.5925,0.5889,0.5667,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.1164,0.1416,0.1174,0.1401,0.1413,0.1164,0.1423,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5896,0.5697,0.5593,0.5462,0.5805,0.5896,0.5678,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.1206,0.1453,0.1258,0.1486,0.1493,0.1206,0.1475,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.5038,0.4614,0.4544,0.4365,0.4857,0.5038,0.476,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0864,0.1072,0.0579,0.0635,0.0922,0.0864,0.0782,N/A,,,,,,,,,,,,,,,
