start_idx,end_idx,start_time,end_time,center_time,label,mean_st_x,mean_st_y,mean_st_z,sd_st_x,sd_st_y,sd_st_z,min_st_x,min_st_y,min_st_z,max_st_x,max_st_y,max_st_z,mean_pitch,mean_sway,sd_pitch,sd_sway,min_pitch,min_sway,max_pitch,max_sway,mean_vedba_s,sd_vedba_s,min_vedba_s,max_vedba_s,psd1_x,psd2_x,psd1_y,psd2_y,psd1_z,psd2_z,mean_gyr_x,mean_gyr_y,mean_gyr_z,sd_gyr_x,sd_gyr_y,sd_gyr_z,min_gyr_x,min_gyr_y,min_gyr_z,max_gyr_x,max_gyr_y,max_gyr_z,experiment_id
900,1200,15.0,20.0,17.5,pre-void,-0.30045569761546875,-0.3255950966550378,-0.42165640629580686,0.14346027070354822,0.08707781958218763,0.20335871402010958,-0.6374662060227063,-0.5880241365415376,-0.6533141752418757,0.1311706978211357,-0.03550519243113177,0.10827713840822255,-0.43527128522025405,-0.33164105264439087,0.0,0.0,-0.43527128522025405,-0.33164105264439087,-0.43527128522025405,-0.33164105264439087,0.2328678265390056,0.12365572313660073,0.03757486047991404,0.5835395260065216,0.022078105732949684,0.019851492811521158,0.0033854847138853265,0.0006976554015229419,0.02821659018169959,0.0013851011135102634,0.14635422799414968,0.05952745594122789,0.031069481352662572,0.2566626077135293,0.20323531529497427,0.2527894994943044,-1.082320947552135,-0.3312808555214847,-0.43045110515378127,0.9150453319159587,1.0753345599626571,1.2940298850039653,26
1200,1500,20.0,25.0,22.5,void,-0.33154931486817324,-0.3195935349131642,-0.41885679221409416,0.10648668802149963,0.059694087906222416,0.17630666442633272,-0.5321058098516851,-0.4280055902330024,-0.6636626102919092,-0.15277068842172908,-0.17992030268387366,-0.10626034624552524,-0.4321859870786987,-0.3253004941259255,0.0,0.0,-0.4321859870786987,-0.3253004941259255,-0.4321859870786987,-0.3253004941259255,0.19204340646014176,0.09542624802992243,0.009019081818561429,0.3720308250839546,0.013269616006015405,0.002336338221956958,0.0017682682808609232,0.00011365960725699628,0.022714954380385722,0.0027491182560263777,-0.10806893395352264,0.027047031799146293,0.03939831440289842,0.09625311325705163,0.0751656604362906,0.09440260975147668,-0.398056236898607,-0.10795967618205564,-0.15388987377286154,0.08616929928142471,0.24071491776880588,0.34684216981432925,26
1500,1800,25.0,30.0,27.5,void,-0.11969286369414628,-0.22260527936047983,-0.13318248495926785,0.03177321938923633,0.026541206384642205,0.054172749440518246,-0.24275643049196688,-0.33423444162693006,-0.28779830265947265,-0.040808091497135955,-0.1687185888330163,-0.05671830041841368,-0.1335793835718305,-0.22448599061410435,0.0,0.0,-0.1335793835718305,-0.22448599061410435,-0.1335793835718305,-0.22448599061410435,0.058501388629773894,0.035017815709179334,0.007505604394932411,0.19340953636352548,0.0002811870074149026,0.00011740998010586924,0.00017734043275830102,7.007337036292648e-05,0.0013683690422836652,0.0002628202890397671,0.0417996682426208,0.06065401966028652,0.026916157258216805,0.10085054809721085,0.046084154340748536,0.045876996914008844,-0.19892857316011162,-0.027053066506291107,-0.05691602575962322,0.28450416711311244,0.1853734143732663,0.1798651904754367,26
1800,2100,30.0,35.0,32.5,post-void,-0.24924917322329251,-0.3363648388226282,-0.44785595067865663,0.03835612470731487,0.04195542737196287,0.11391402375879091,-0.3684123084759803,-0.43503374642648274,-0.6733854148362667,-0.12169770794188,-0.21141832221064227,-0.21871634220243072,-0.4643659129753546,-0.34305414187772365,0.0,0.0,-0.4643659129753546,-0.34305414187772365,-0.4643659129753546,-0.34305414187772365,0.11203377718072632,0.060467245414892935,0.013125346158595976,0.2557813723194972,0.0023928640719432194,0.0016103803745816535,0.001046420674696222,0.0002255415084917774,0.011554041313702756,0.0051267006378561296,0.08001588738069951,0.02215341821691735,-0.004021956347311758,0.22195502221761212,0.048128761509702384,0.05925045164419162,-0.49265616136131324,-0.0926139060263502,-0.1705288837379878,0.7505190463823608,0.1318333280089353,0.09736729992509244,26
2100,2400,35.0,40.0,37.5,post-void,0.34620218309027184,-0.37585359064933643,-0.6477343928742572,0.5817229979415918,0.03753859325347593,0.13551938708431965,-0.3360317685492954,-0.5615116677257725,-0.868101934384662,1.2413624558229168,-0.21908099236606318,-0.35848777089103634,-0.7046069038084057,-0.3853177312923198,0.0,0.0,-0.7046069038084057,-0.3853177312923198,-0.7046069038084057,-0.3853177312923198,0.5701584157888665,0.18192217429011437,0.048415251046011014,0.9232594859081882,0.43985615785205906,0.07238440435295602,0.0012418746290676767,0.0005082457266067324,0.032420999993831336,0.007396831992209179,0.089224034800335,-0.0462021523604671,0.036643444378567175,0.2137393427846239,0.23640997440910483,0.2411414325732812,-0.40852740595166365,-0.7844936860761159,-0.4715828922281283,0.6555619033032443,0.38850638878943733,0.8400059983453729,26
2400,2700,40.0,45.0,42.5,post-void,-0.39030653255769604,-0.2445775813183828,-0.4300624779583872,0.7302111443974315,0.29829579485289315,0.5661678719109511,-2.720121124464683,-0.5521266130553325,-0.8950691465776929,0.9049073101337296,0.7873671026062172,1.1109871842609074,-0.4445619805124548,-0.2470840191059203,0.0,0.0,-0.4445619805124548,-0.2470840191059203,-0.4445619805124548,-0.2470840191059203,0.7152855012971587,0.6565831306448358,0.0700102703263262,2.9085675588452107,0.12314563088818824,0.02256832575562186,0.0031493323168602736,0.000480097224215357,0.034159749364764604,0.005366634760669384,-0.47210750968334236,0.17373974730323227,-0.16436501057477015,0.8728576075838038,0.3231870902795044,0.6109264316767438,-3.5163352340636425,-0.667349248770025,-2.344378876017973,0.6634245190026834,1.0990331357649585,0.5721552317950352,26
2700,3000,45.0,50.0,47.5,post-void,-0.993963590277712,0.18701365913434775,0.4364282524417098,0.7559915017084337,0.4386077044815091,0.6287085659147567,-2.9362371394550633,-0.3243448605375634,-0.3449592063643601,-0.0659508873927102,1.2699068763845398,1.4283481439676833,0.4516250741586483,0.18812128749846965,0.0,0.0,0.4516250741586483,0.18812128749846965,0.4516250741586483,0.18812128749846965,0.9637805490158794,0.4798972632544924,0.06459427982543843,2.3173053559712202,0.08638364740293171,0.06901079296974515,0.2631710380844881,0.03880150489764292,0.6682828495988793,0.152322288990128,0.35824736949393665,-0.03697905704728556,0.11590667333750111,0.5749665347013709,0.5008240775415831,0.7912545107998841,-0.5958660650990087,-1.0251197402529055,-1.0285848793056498,2.2791399204322134,1.1608163586103248,2.9252410864682994,26
3000,3300,50.0,55.0,52.5,post-void,-0.2484547680193353,0.14792133377108962,-0.06223809132012315,0.7798777075937654,1.2075171657979715,1.3544924315530047,-2.040365896266601,-0.9630716872200954,-0.9191402385221621,2.181591297477134,4.773184865152074,4.727835861154762,-0.06227834222588007,0.14846615304539168,0.0,0.0,-0.06227834222588007,0.14846615304539168,-0.06227834222588007,0.14846615304539168,1.4481550919041082,1.3430575272210228,0.3687809950553703,6.882821218222049,0.18524875573262517,0.007932258043807757,0.014425002383449171,0.0038814065996580866,0.082957511210206,0.003978021048415614,-0.9864315082065698,0.0017801398224734062,0.04553712358412919,2.331421377086177,1.026125882595093,1.352865420062135,-9.09136068807329,-3.1576685848204793,-3.669568063978479,1.2845054423807087,2.838805272713286,3.5677838353145375,26
3300,3600,55.0,60.0,57.5,post-void,-0.612705791368362,1.999068550059479,2.1591051866449487,1.3191774283961946,2.4147542599638867,1.9715301859730197,-4.337294631320433,0.16879030605324893,0.5813433716044428,1.883492053006494,6.825048888001828,6.361550700748879,1.5707963267948966,1.5707963267948966,0.0,0.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,2.993805585635621,1.5796602841191845,1.2098249210311764,7.123218914322032,2.3222759618979656,1.2995108268204847,10.252918227652522,1.749212847722499,7.1534379132017945,1.2406219759021033,0.7509001135091868,0.24867908508871414,0.11841188776349168,1.7160541766115949,0.6123099754183349,1.1284211570457552,-2.417587794209226,-1.4334826293221898,-2.057138137110017,4.4656652959137295,1.833027307172042,3.647483158196031,26
3600,3900,60.0,65.0,62.5,post-void,1.3661363210614372,0.2061460332615718,0.5118187917112865,1.1207592083653402,0.15824859905630503,0.22501918833696052,-2.576836438360703,-0.18976379531822302,0.27198687935328625,2.595690215378959,0.911653275855769,1.0219316094460393,0.5373005642094273,0.20763475202771284,0.0,0.0,0.5373005642094273,0.20763475202771284,0.5373005642094273,0.20763475202771284,1.0375207078366486,0.5053001466148128,0.18715786483822108,3.9504637932168665,2.6592371120493143,1.2107721651949668,0.027279489628957477,0.013293203547251015,0.12589930989110304,0.03872207829728687,0.17569400013476366,-0.37962372079426554,-0.018092958958521727,0.4697492096223458,1.0026689793388899,0.7204357707155602,-0.43750899655643144,-4.433008756151866,-2.7858594675504826,1.9028716693408505,0.5381092106240094,2.6064282309686075,26
