,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,Precision_void,Recall_void,F1_void,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.5388,0.3655,0.4585,0.4024,0.4309,0.5388,0.4737,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'splitter': 'random'}",0.4988,0.7689,0.6051,0.0,0.0,0.0,0.5978,0.6066,0.6022,,1.0,9.0,2.0,log2,,,,,,,,,gini,random
11,DT,2,0.527,0.4381,0.4895,0.4545,0.4645,0.527,0.4872,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': None, 'splitter': 'best'}",0.5511,0.62,0.5835,0.1562,0.0719,0.0985,0.607,0.7765,0.6814,,3.0,3.0,6.0,,,,,,,,,,entropy,best
12,DT,3,0.5733,0.3789,0.4701,0.4172,0.4554,0.5733,0.5047,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'log2', 'splitter': 'random'}",0.5485,0.5736,0.5608,0.0,0.0,0.0,0.5882,0.8368,0.6908,,2.0,6.0,3.0,log2,,,,,,,,,entropy,random
13,DT,4,0.3828,0.2562,0.3069,0.2773,0.3278,0.3828,0.351,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': None, 'splitter': 'random'}",0.2461,0.3697,0.2955,0.0,0.0,0.0,0.5226,0.551,0.5364,,1.0,2.0,3.0,,,,,,,,,,entropy,random
14,DT,5,0.553,0.4263,0.4475,0.4218,0.4944,0.553,0.5127,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 7, 'max_features': 'log2', 'splitter': 'best'}",0.4088,0.4625,0.434,0.1852,0.0526,0.082,0.685,0.8274,0.7495,,4.0,16.0,7.0,log2,,,,,,,,,entropy,best
15,RF,MEAN,0.5711,0.5503,0.5161,0.5099,0.568,0.5711,0.5507,N/A,0.5557,0.5277,0.54,0.4797,0.2455,0.3087,0.6155,0.775,0.6809,,,,,,,,,,,,,,,
16,RF,STD,0.1058,0.1331,0.1094,0.1115,0.1163,0.1058,0.1044,N/A,0.184,0.1558,0.1679,0.2116,0.1403,0.1501,0.0998,0.1276,0.0888,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5687,0.5474,0.5284,0.5271,0.5664,0.5687,0.5584,N/A,0.5549,0.5141,0.5331,0.472,0.3417,0.385,0.6153,0.7294,0.663,,,,,,,,,,,,,,,
18,XGB,STD,0.1035,0.1111,0.1029,0.103,0.1019,0.1035,0.0994,N/A,0.1697,0.1628,0.1649,0.1275,0.1144,0.098,0.0902,0.1268,0.0882,,,,,,,,,,,,,,,
19,DT,MEAN,0.515,0.373,0.4345,0.3946,0.4346,0.515,0.4659,N/A,0.4507,0.5589,0.4958,0.0683,0.0249,0.0361,0.6001,0.7197,0.6521,,,,,,,,,,,,,,,
20,DT,STD,0.0759,0.0721,0.073,0.0683,0.0639,0.0759,0.066,N/A,0.128,0.1526,0.1302,0.0941,0.0348,0.0498,0.0579,0.1321,0.0832,,,,,,,,,,,,,,,
