,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,AUC,Best_Params,HP_n_estimators,HP_max_depth,HP_min_samples_split,HP_min_samples_leaf,HP_max_features,HP_bootstrap,HP_learning_rate,HP_subsample,HP_colsample_bytree,HP_min_child_weight,HP_gamma,HP_reg_alpha,HP_reg_lambda,HP_criterion,HP_splitter
10,DT,1,0.615,0.6252,0.6279,0.6144,0.643,0.615,0.617,0.5243,0.7013,0.6,0.7262,0.5545,0.6289,0.6279,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
11,DT,2,0.6192,0.6047,0.6105,0.6046,0.635,0.6192,0.6244,0.4878,0.5769,0.5286,0.7215,0.6441,0.6806,0.6105,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
12,DT,3,0.681,0.7224,0.7267,0.6809,0.7705,0.681,0.6824,0.54,0.9,0.675,0.9048,0.5534,0.6867,0.7267,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
13,DT,4,0.6833,0.7045,0.6616,0.6557,0.7,0.6833,0.6654,0.6591,0.8788,0.7532,0.75,0.4444,0.5581,0.6616,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'splitter': 'best'}",,1.0,19.0,3.0,sqrt,,,,,,,,,entropy,best
14,DT,5,0.6494,0.6614,0.6639,0.6491,0.6789,0.6494,0.6507,0.5581,0.75,0.64,0.7647,0.5778,0.6582,0.6866,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'splitter': 'best'}",,2.0,20.0,1.0,sqrt,,,,,,,,,entropy,best
15,RF,MEAN,0.6798,0.6796,0.6702,0.6628,0.6932,0.6798,0.6749,0.6441,0.5882,0.6009,0.7151,0.7522,0.7247,0.744,N/A,,,,,,,,,,,,,,,
16,RF,STD,0.0564,0.044,0.0521,0.0524,0.0486,0.0564,0.0574,0.0822,0.1497,0.0714,0.1004,0.117,0.0721,0.0742,N/A,,,,,,,,,,,,,,,
17,XGB,MEAN,0.6806,0.6801,0.6725,0.665,0.6933,0.6806,0.6758,0.6465,0.5822,0.6002,0.7136,0.7628,0.7299,0.7509,N/A,,,,,,,,,,,,,,,
18,XGB,STD,0.0712,0.0527,0.0595,0.0672,0.0565,0.0712,0.0759,0.0615,0.1477,0.0764,0.1165,0.088,0.0736,0.0776,N/A,,,,,,,,,,,,,,,
19,DT,MEAN,0.6496,0.6636,0.6581,0.6409,0.6855,0.6496,0.648,0.5539,0.7614,0.6394,0.7734,0.5548,0.6425,0.6627,N/A,,,,,,,,,,,,,,,
20,DT,STD,0.0326,0.0502,0.0445,0.0312,0.0544,0.0326,0.0274,0.0643,0.133,0.0837,0.0755,0.0719,0.0523,0.0464,N/A,,,,,,,,,,,,,,,
