Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
DT,1,0.7403,0.7342,0.7671,0.73,0.7935,0.7403,0.7486,0.5662,0.8433,0.6775,0.9021,0.691,0.7826,52,f_classif,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",52,f_classif,,2.0,20.0,10.0,sqrt,,balanced,,,,,,,,gini,best
DT,2,0.6743,0.635,0.6246,0.6278,0.6647,0.6743,0.6678,0.5374,0.461,0.4963,0.7326,0.7882,0.7594,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_split': 15, 'clf__min_samples_leaf': 4, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",94,f_classif,,5.0,15.0,4.0,log2,,,,,,,,,,entropy,random
DT,3,0.7142,0.7036,0.7089,0.7053,0.7197,0.7142,0.7161,0.6269,0.6835,0.6539,0.7803,0.7343,0.7566,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 7, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",42,f_classif,,3.0,9.0,7.0,sqrt,,balanced,,,,,,,,gini,random
DT,4,0.6654,0.6791,0.6591,0.6532,0.6775,0.6654,0.6557,0.6384,0.821,0.7183,0.7197,0.4971,0.5881,42,f_classif,"{'selector__k': 42, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 18, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",42,f_classif,,2.0,18.0,9.0,,,,,,,,,,,entropy,random
DT,5,0.6964,0.6979,0.6985,0.6964,0.7006,0.6964,0.6967,0.657,0.7295,0.6913,0.7388,0.6676,0.7014,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 3, 'clf__max_features': 'log2', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",73,f_classif,,2.0,14.0,3.0,log2,,balanced,,,,,,,,gini,best
RF,MEAN,0.775,0.7718,0.7796,0.7674,0.7936,0.775,0.7764,0.7064,0.7814,0.7341,0.8371,0.7778,0.8008,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
RF,STD,0.0276,0.028,0.0334,0.0302,0.0295,0.0276,0.0286,0.0875,0.1151,0.0521,0.0928,0.0651,0.0319,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7665,0.7626,0.7637,0.7554,0.7811,0.7665,0.7663,0.7221,0.714,0.7086,0.8031,0.8133,0.8022,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,STD,0.0302,0.0294,0.0387,0.033,0.0344,0.0302,0.0325,0.0928,0.124,0.053,0.0994,0.0604,0.0325,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,MEAN,0.6981,0.69,0.6916,0.6825,0.7112,0.6981,0.697,0.6052,0.7077,0.6475,0.7747,0.6756,0.7176,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,STD,0.0303,0.0366,0.0538,0.0413,0.0506,0.0303,0.0374,0.0509,0.1526,0.0877,0.0747,0.1099,0.0783,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
