Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Positive,Recall_Positive,F1_Positive,Precision_Negative,Recall_Negative,F1_Negative,Features_K,Score_Function,Best_Params,HP_selector__k,HP_selector__score_func,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
DT,1,0.7253,0.7024,0.7277,0.7058,0.757,0.7253,0.7333,0.5519,0.734,0.6301,0.8529,0.7213,0.7816,21,f_classif,"{'selector__k': 21, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 2, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",21,f_classif,,2.0,14.0,6.0,sqrt,,balanced,,,,,,,,entropy,best
DT,2,0.6922,0.6522,0.6356,0.6403,0.6806,0.6922,0.6834,0.5622,0.4561,0.5036,0.7422,0.8151,0.7769,94,f_classif,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 5, 'clf__min_samples_split': 11, 'clf__min_samples_leaf': 6, 'clf__max_features': 'log2', 'clf__splitter': 'random', 'clf__class_weight': None}",94,f_classif,,5.0,11.0,6.0,log2,,,,,,,,,,entropy,random
DT,3,0.6976,0.7283,0.7304,0.6975,0.7622,0.6976,0.6982,0.5734,0.8801,0.6944,0.8832,0.5806,0.7006,73,f_classif,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",73,f_classif,,3.0,7.0,8.0,,,balanced,,,,,,,,entropy,random
DT,4,0.6603,0.6599,0.659,0.659,0.6601,0.6603,0.6598,0.6641,0.6958,0.6796,0.6557,0.6222,0.6385,31,f_classif,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",31,f_classif,,3.0,19.0,1.0,,,balanced,,,,,,,,gini,best
DT,5,0.6939,0.7101,0.7031,0.6928,0.7166,0.6939,0.6913,0.6284,0.8187,0.7111,0.7918,0.5874,0.6745,84,f_classif,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",84,f_classif,,3.0,9.0,9.0,,,balanced,,,,,,,,gini,random
RF,MEAN,0.775,0.7724,0.779,0.7659,0.7951,0.775,0.7757,0.7196,0.7522,0.7234,0.8252,0.8057,0.8084,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
RF,STD,0.0413,0.0374,0.0482,0.0457,0.0379,0.0413,0.0449,0.1037,0.1391,0.0655,0.1094,0.0612,0.0347,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,MEAN,0.7461,0.741,0.7448,0.7347,0.7628,0.7461,0.7467,0.6841,0.7118,0.688,0.7979,0.7778,0.7815,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
XGB,STD,0.0489,0.049,0.0557,0.0502,0.0525,0.0489,0.0496,0.1038,0.1328,0.0694,0.1025,0.0817,0.0519,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,MEAN,0.6939,0.6906,0.6912,0.6791,0.7153,0.6939,0.6932,0.596,0.7169,0.6438,0.7852,0.6653,0.7144,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
DT,STD,0.0231,0.033,0.0422,0.0281,0.0453,0.0231,0.0267,0.0482,0.1626,0.084,0.0906,0.1008,0.0632,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
