,Model,Fold,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,AUC_Macro,AUC_Micro,Best_Params,Precision_post-void,Recall_post-void,F1_post-void,AUC_post-void,Precision_pre-void,Recall_pre-void,F1_pre-void,AUC_pre-void,Precision_void,Recall_void,F1_void,AUC_void,HP_pca__n_components,HP_clf__n_estimators,HP_clf__max_depth,HP_clf__min_samples_split,HP_clf__min_samples_leaf,HP_clf__max_features,HP_clf__bootstrap,HP_clf__class_weight,HP_clf__learning_rate,HP_clf__subsample,HP_clf__colsample_bytree,HP_clf__min_child_weight,HP_clf__gamma,HP_clf__reg_alpha,HP_clf__reg_lambda,HP_clf__criterion,HP_clf__splitter
10,DT,1,0.5607,0.4085,0.3537,0.2811,0.418,0.5607,0.4173,0.5174,0.7032,"{'pca__n_components': 0.8, 'clf__criterion': 'gini', 'clf__max_depth': 13, 'clf__min_samples_split': 8, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5121,0.6667,0.0714,0.129,0.5323,0.5588,0.9896,0.7143,0.5078,0.8,,13.0,8.0,10.0,,,,,,,,,,,gini,random
11,DT,2,0.4177,0.1392,0.3333,0.1964,0.1745,0.4177,0.2462,0.5,0.5443,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.4177,1.0,0.5893,0.5,0.75,,15.0,2.0,10.0,sqrt,,,,,,,,,,gini,random
12,DT,3,0.2664,0.0888,0.3333,0.1402,0.071,0.2664,0.1121,0.5,0.5131,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2664,1.0,0.4207,0.5,0.75,,15.0,2.0,10.0,sqrt,,,,,,,,,,gini,random
13,DT,4,0.5,0.4827,0.4599,0.4516,0.5194,0.5,0.4897,0.63,0.6401,"{'pca__n_components': 0.85, 'clf__criterion': 'entropy', 'clf__max_depth': 4, 'clf__min_samples_split': 14, 'clf__min_samples_leaf': 6, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",0.4454,0.6974,0.5436,0.6278,0.3462,0.2143,0.2647,0.5989,0.6567,0.4681,0.5466,0.6633,0.85,,4.0,14.0,6.0,,,balanced,,,,,,,,entropy,random
14,DT,5,0.406,0.1353,0.3333,0.1925,0.1648,0.406,0.2345,0.5,0.5789,"{'pca__n_components': 0.75, 'clf__criterion': 'gini', 'clf__max_depth': 15, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'random', 'clf__class_weight': None}",0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.406,1.0,0.5775,0.5,0.75,,15.0,2.0,10.0,sqrt,,,,,,,,,,gini,random
15,RF,MEAN,0.4489,0.4179,0.4178,0.3992,0.4591,0.4489,0.4368,0.6575,0.6657,N/A,0.4041,0.3795,0.3777,0.6453,0.3006,0.226,0.237,0.5934,0.5489,0.6478,0.5828,0.734,,,,,,,,,,,,,,,,,
16,RF,STD,0.049,0.0405,0.0304,0.0304,0.0671,0.049,0.0608,0.0486,0.0447,N/A,0.1062,0.1682,0.1063,0.0859,0.1151,0.0982,0.0588,0.0807,0.1188,0.0942,0.0642,0.0663,,,,,,,,,,,,,,,,,
17,XGB,MEAN,0.5173,0.4913,0.4588,0.406,0.5151,0.5173,0.4672,0.6626,0.6846,N/A,0.4928,0.5633,0.5084,0.6648,0.425,0.048,0.0807,0.5859,0.556,0.765,0.6287,0.737,,,,,,,,,,,,,,,,,
18,XGB,STD,0.0784,0.1821,0.0554,0.0687,0.1699,0.0784,0.0996,0.0526,0.0765,N/A,0.1845,0.0715,0.0909,0.0764,0.4472,0.0557,0.0917,0.1071,0.1439,0.1329,0.0936,0.0585,,,,,,,,,,,,,,,,,
19,DT,MEAN,0.4302,0.2509,0.3627,0.2524,0.2695,0.4302,0.3,0.5295,0.5959,N/A,0.0891,0.1395,0.1087,0.528,0.2026,0.0571,0.0787,0.5262,0.4611,0.8915,0.5697,0.5342,,,,,,,,,,,,,,,,,
20,DT,STD,0.1112,0.1808,0.055,0.1223,0.1897,0.1112,0.1519,0.0567,0.0763,N/A,0.1992,0.3119,0.2431,0.056,0.2996,0.0931,0.118,0.043,0.1505,0.2368,0.105,0.0722,,,,,,,,,,,,,,,,,
