config,model,n_folds,accuracy_mean,accuracy_std,f1_positive_mean,f1_positive_std,auc_mean,auc_std,precision_positive_mean,precision_positive_std,recall_positive_mean,recall_positive_std
3s_0.8,XGB,5,0.7749738753863198,0.049074562623453166,0.7362529563770572,0.06005875306079644,0.8481348558136521,0.04349907335888204,0.7342764711653704,0.12333873531131749,0.7601234130764978,0.10864725373511218
3s_0.8,DT,5,0.6924266199357213,0.04357035411575591,0.6664291151886577,0.025585950221063795,0.7356419729459966,0.03740481465462374,0.6191716189201306,0.07498409165344289,0.7367096816949095,0.08936407959227519
4s_no,RF,5,0.7562196330924097,0.05482062893427893,0.7114694043820258,0.06998440527920541,0.8307617711888096,0.047932362981882935,0.7016286416286416,0.10142753112752893,0.7579392143954357,0.16545746410820528
4s_no,XGB,5,0.7625242689058312,0.050937751282608926,0.7059222541633923,0.08153499919169695,0.8334125119203977,0.04981305525730932,0.7218326988510547,0.12045553111350857,0.7224388852315119,0.17155491485382188
4s_no,DT,5,0.6495877381248112,0.07827443963984436,0.5968065511309069,0.08817118920244536,0.7275001088027544,0.05674495376438599,0.6476924860853432,0.21383873482840482,0.681626728110599,0.2648016488796451
4s_0.5,RF,5,0.7711998957696939,0.06471623919879738,0.7264862649631821,0.07735975915691379,0.8415152313287286,0.05651905016471113,0.7268198410800635,0.09664086913625182,0.7463806307768207,0.14081040595696587
4s_0.5,XGB,5,0.767567716118924,0.047283134565923896,0.7182914101265165,0.06345992430755844,0.8394110463639108,0.05074889262546445,0.7303406270139877,0.11514096338539638,0.7298520445021792,0.131740153978929
4s_0.5,DT,5,0.6700690458322948,0.03193120964556948,0.6460878929560717,0.03407134878412746,0.7276833309947475,0.07349730093857725,0.5985243040357194,0.09410895206591409,0.7464531060500825,0.16526021655364975
4s_0.8,RF,5,0.7887094750883527,0.037563336531332384,0.7562185919928313,0.054050670202919995,0.8631468937643161,0.044893166030113195,0.7458347728703335,0.09156856904181498,0.7827719132542045,0.11230892050301183
4s_0.8,XGB,5,0.7702953548438316,0.059104567252898636,0.7333281118357616,0.062036272858652174,0.8463668483677145,0.051662704245684005,0.741980310733433,0.12346928074991395,0.7491168766177394,0.12138154838055162
4s_0.8,DT,5,0.6817592627772078,0.07244503271112976,0.6172687545955867,0.16213952684775682,0.7435721528311429,0.03865434896149514,0.6682869921752707,0.15057936125544785,0.688403089728683,0.29608451947131725
5s_no,RF,5,0.7706266994761,0.0576703073310313,0.7455164109062398,0.05560741367115691,0.8426789248008856,0.059815079545397366,0.6986931741708451,0.05975936980781753,0.8186613272311213,0.13882096381698888
5s_no,XGB,5,0.8083390164258837,0.046014891035257875,0.7713215451711356,0.04840454207117204,0.859341735889293,0.05637847895878661,0.7702647896765544,0.05658610560846364,0.7886613272311213,0.1281439016785888
5s_no,DT,5,0.7069142255183587,0.07211673073318424,0.7035832913364182,0.0406721693807543,0.7438661337066776,0.06014013980233687,0.6303045418424109,0.1039146200478202,0.836883295194508,0.14559453399386627
5s_0.5,RF,5,0.7586161080440246,0.054509208354285556,0.7258622250997618,0.05026263843941857,0.8199356945991985,0.05818363454499757,0.695786992494865,0.0833343113190531,0.7849441834667928,0.14743850643793643
5s_0.5,XGB,5,0.7975997227153317,0.03943542725586808,0.7503249861682424,0.06441994488350926,0.8609695710428357,0.038672969408554254,0.7596062050642899,0.08684097596646738,0.7587921768752853,0.1334807578989167
5s_0.5,DT,5,0.7036724227695161,0.02466120511485273,0.6992071526102209,0.04749901427290424,0.7390858852554935,0.02250774752230317,0.6080255884334665,0.09926798051829525,0.8565018100759906,0.13958049683990037
5s_0.8,RF,5,0.8009175819345676,0.05894454309718583,0.7657426670042972,0.07822242770548599,0.8694435749752094,0.04461673683786812,0.7762435235691372,0.0860456311616562,0.7730789048851461,0.14084073417533613
5s_0.8,XGB,5,0.7707545907538715,0.031962383302361584,0.7348039968866086,0.06046939020962495,0.8442356924068521,0.05001648871249721,0.7397941979321323,0.1244567826647665,0.7505519631375142,0.11438448032677438
5s_0.8,DT,5,0.7065029995810744,0.0706987257347877,0.7182751198027277,0.019874459844397317,0.7347206919307432,0.07858273155987443,0.6393972602392333,0.10616931244385587,0.8628695527079758,0.15118519856373955
