config,fold,model,best_params,optimization_score,n_trials,train_size,test_size,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,auc
1s_0.5,3,DT,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__criterion': 'entropy', 'clf__max_depth': 3, 'clf__min_samples_split': 7, 'clf__min_samples_leaf': 8, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",-0.569272584805835,50,3714,1068,0.697565543071161,0.728307535046729,0.7303705422758567,0.69753345672918,0.7622397337367426,0.697565543071161,0.6982160207313219,0.5734375,0.8800959232613909,0.6944181646168401,0.883177570093458,0.5806451612903226,0.70064874884152,0.7239609234271569
1s_0.5,4,RF,"{'selector__k': 73, 'selector__score_func': 'f_classif', 'clf__n_estimators': 350, 'clf__max_depth': 19, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__bootstrap': True, 'clf__class_weight': None}",-0.4752850868573339,50,4052,730,0.7150684931506849,0.7482544019429265,0.7212527056277056,0.7086924157195589,0.7518198301602749,0.7150684931506849,0.7071574341157693,0.8483606557377049,0.5476190476190477,0.6655948553054662,0.6481481481481481,0.8948863636363636,0.7517899761336515,0.8094261063011063
1s_0.5,4,XGB,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__n_estimators': 51, 'clf__max_depth': 3, 'clf__learning_rate': 0.08328179992489314, 'clf__subsample': 0.640828613274397, 'clf__colsample_bytree': 0.8044932740411616, 'clf__min_child_weight': 5, 'clf__gamma': 0.596933717891501, 'clf__reg_alpha': 0.14460433687147728, 'clf__reg_lambda': 1.7814855555869766}",-0.49806714540536373,50,4052,730,0.6986301369863014,0.7124362124362125,0.7027417027417028,0.696146394623721,0.714708098269742,0.6986301369863014,0.6951679506627045,0.7762237762237763,0.5873015873015873,0.6686746987951807,0.6486486486486487,0.8181818181818182,0.7236180904522613,0.8141233766233766
1s_0.5,4,DT,"{'selector__k': 31, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 19, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",-0.5792523540223081,50,4052,730,0.6602739726027397,0.6599150184479525,0.6589631433381433,0.6590352641610354,0.6600655476096375,0.6602739726027397,0.6597672282402244,0.6641414141414141,0.6957671957671958,0.6795865633074936,0.655688622754491,0.6221590909090909,0.6384839650145773,0.6962594696969696
1s_0.5,5,RF,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 225, 'clf__max_depth': 12, 'clf__min_samples_split': 4, 'clf__min_samples_leaf': 3, 'clf__max_features': 'sqrt', 'clf__bootstrap': False, 'clf__class_weight': 'balanced'}",-0.4793370092473135,50,3691,1091,0.8130155820348305,0.812383090160868,0.8106419821562646,0.811333997924847,0.8128455001863699,0.8130155820348305,0.8127543650857069,0.8065843621399177,0.7808764940239044,0.7935222672064778,0.8181818181818182,0.8404074702886248,0.8291457286432161,0.8848375597778665
1s_0.5,5,XGB,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 235, 'clf__max_depth': 4, 'clf__learning_rate': 0.015127000210610331, 'clf__subsample': 0.831570870804152, 'clf__colsample_bytree': 0.7166350716889853, 'clf__min_child_weight': 9, 'clf__gamma': 4.524133486953402, 'clf__reg_alpha': 1.0937467969464028, 'clf__reg_lambda': 1.808982905613443}",-0.4820607886487853,50,3691,1091,0.8020164986251146,0.8038783117448944,0.7972185959050048,0.7989379347061916,0.8029931874748352,0.8020164986251146,0.8009218981206087,0.8149779735682819,0.7370517928286853,0.7740585774058577,0.792778649921507,0.8573853989813243,0.8238172920065253,0.883089036045969
1s_0.5,5,DT,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 3, 'clf__min_samples_split': 9, 'clf__min_samples_leaf': 9, 'clf__max_features': None, 'clf__splitter': 'random', 'clf__class_weight': 'balanced'}",-0.5732594527794044,50,3691,1091,0.693858845096242,0.7101011903512271,0.7030807161844981,0.692768300990847,0.716613098356682,0.693858845096242,0.6913086496497798,0.6284403669724771,0.8187250996015937,0.7110726643598616,0.7917620137299771,0.5874363327674024,0.6744639376218323,0.7693741164374759
1s_0.8,1,RF,"{'selector__k': 94, 'selector__score_func': 'f_classif', 'clf__n_estimators': 410, 'clf__max_depth': 8, 'clf__min_samples_split': 13, 'clf__min_samples_leaf': 5, 'clf__max_features': 'log2', 'clf__bootstrap': True, 'clf__class_weight': 'balanced'}",-0.5676150273744285,50,8859,3057,0.7746156362446843,0.7429776917654206,0.7487400085661816,0.745626115232376,0.7776348918599644,0.7746156362446843,0.7759358954380743,0.6447876447876448,0.6754297269969667,0.659753086419753,0.8411677387431964,0.8220502901353965,0.8314991440449988,0.8537432062161533
1s_0.8,1,XGB,"{'selector__k': 84, 'selector__score_func': 'f_classif', 'clf__n_estimators': 110, 'clf__max_depth': 6, 'clf__learning_rate': 0.015465913515231381, 'clf__subsample': 0.677224892366106, 'clf__colsample_bytree': 0.6038800597753199, 'clf__min_child_weight': 9, 'clf__gamma': 4.300196102040087, 'clf__reg_alpha': 1.3241833565876329, 'clf__reg_lambda': 0.20894754950702768}",-0.5488005107589754,50,8859,3057,0.7670919201831862,0.7338610148807181,0.7323640314249784,0.7330971746302377,0.7663688542473209,0.7670919201831862,0.7667180091413572,0.6417604912998977,0.6339737108190091,0.6378433367243134,0.8259615384615384,0.8307543520309478,0.8283510125361621,0.8465924981371489
1s_0.8,1,DT,"{'selector__k': 52, 'selector__score_func': 'f_classif', 'clf__criterion': 'gini', 'clf__max_depth': 2, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__splitter': 'best', 'clf__class_weight': 'balanced'}",-0.6355635471232064,50,8859,3057,0.7402682368334969,0.7341689553374889,0.7671409195541674,0.7300414270626557,0.793458367357242,0.7402682368334969,0.7485871879748197,0.5661914460285132,0.8432760364004045,0.677497969130788,0.9021464646464646,0.6910058027079303,0.7825848849945235,0.8232340073497055
