,Model,Fold,Test_Experiment,CM_non_void_pred_non_void,CM_non_void_pred_void,CM_void_pred_non_void,CM_void_pred_void,TP,TN,FP,FN,Sensitivity,Specificity,PPV,NPV
20,RF,21,21,31,24,0,34,34,31,24,0,1.0,0.5636363636363636,0.5862068965517241,1.0
21,RF,22,22,100,63,0,37,37,100,63,0,1.0,0.6134969325153374,0.37,1.0
22,RF,23,23,29,4,4,82,82,29,4,4,0.9534883720930233,0.8787878787878788,0.9534883720930233,0.8787878787878788
23,RF,24,24,60,37,3,45,45,60,37,3,0.9375,0.6185567010309279,0.5487804878048781,0.9523809523809523
24,RF,25,25,110,0,45,45,45,110,0,45,0.5,1.0,1.0,0.7096774193548387
25,RF,26,26,115,17,1,29,29,115,17,1,0.9666666666666667,0.8712121212121212,0.6304347826086957,0.9913793103448276
26,RF,27,27,187,73,0,71,71,187,73,0,1.0,0.7192307692307692,0.4930555555555556,1.0
27,RF,28,28,41,4,6,58,58,41,4,6,0.90625,0.9111111111111111,0.9354838709677419,0.8723404255319149
28,RF,29,29,26,10,18,33,33,26,10,18,0.6470588235294118,0.7222222222222222,0.7674418604651163,0.5909090909090909
29,RF,30,30,23,0,76,21,21,23,0,76,0.21649484536082475,1.0,1.0,0.23232323232323232
30,RF,31,31,66,25,12,22,22,66,25,12,0.6470588235294118,0.7252747252747253,0.46808510638297873,0.8461538461538461
31,RF,32,32,30,21,0,19,19,30,21,0,1.0,0.5882352941176471,0.475,1.0
32,RF,33,33,38,29,47,0,0,38,29,47,0.0,0.5671641791044776,0.0,0.4470588235294118
33,RF,34,34,56,20,0,16,16,56,20,0,1.0,0.7368421052631579,0.4444444444444444,1.0
34,RF,35,35,32,1,110,11,11,32,1,110,0.09090909090909091,0.9696969696969697,0.9166666666666666,0.22535211267605634
35,RF,36,36,31,47,0,64,64,31,47,0,1.0,0.3974358974358974,0.5765765765765766,1.0
36,RF,37,37,26,63,0,74,74,26,63,0,1.0,0.29213483146067415,0.5401459854014599,1.0
37,RF,38,38,20,16,0,65,65,20,16,0,1.0,0.5555555555555556,0.8024691358024691,1.0
38,RF,39,39,18,9,10,52,52,18,9,10,0.8387096774193549,0.6666666666666666,0.8524590163934426,0.6428571428571429
39,RF,40,40,377,45,13,41,41,377,45,13,0.7592592592592593,0.8933649289099526,0.47674418604651164,0.9666666666666667
40,RF,41,41,21,21,5,51,51,21,21,5,0.9107142857142857,0.5,0.7083333333333334,0.8076923076923077
